@relation 808100

@attribute follower numeric
@attribute followed numeric
@attribute favcount numeric
@attribute defaultimage {false,true}
@attribute lengthUserName numeric
@attribute lengthDescName numeric
@attribute ratioFollowerFollowed numeric
@attribute getReputation numeric
@attribute AgeOfAccount numeric
@attribute FollowingRate numeric
@attribute CountOfTweets numeric
@attribute NumberOfTPerDay numeric
@attribute AvgLinkCount numeric
@attribute AvgRTCount numeric
@attribute AvgHTCount numeric
@attribute AvgFavCount numeric
@attribute AvgDDifference numeric
@attribute AvgNOfChars numeric
@attribute AvgNOfWords numeric
@attribute AvgNOfCapitalization numeric
@attribute AvgNOfQuestionMark numeric
@attribute AvgNOfExclamationMark numeric
@attribute AvgNOfDotMark numeric
@attribute AvgMaxWordLength numeric
@attribute AvgNOfWhiteSpaces numeric
@attribute AvgMeanWordLength numeric
@attribute Type {Human,Bot}

@data
13827,767,33613,false,11,159,18,0.947444,57831,0.239093,41769,17.3387,121.371,0.1349,336.595,0.0388,14.6224,1486499970,101.813,17.4484,6.5702,0.151,0.1548,1.4378,14.7924,5.89294,Human
6583436,7904,16018,false,12,100,832,0.998801,68988,95.428712,75827,26.3838,184.686,0.5344,345.365,0.3581,1030.05,1466000000,82.7437,14.5187,7.7768,0.0991,0.4767,1.3606,20.4739,7.3521,Human
1809,340,11626,false,1,27,5,0.841787,54562,0.033155,28034,12.3335,86.3344,0.088,2220.99,0.1102,0.9336,1462739970,66.403,12.1674,5.6116,0.1575,0.0826,0.362,13.4347,5.86081,Human
1609,1972,168,false,9,158,0,0.449316,56853,0.028301,44033,18.595,130.165,0.5303,0.1589,0.9443,0.1173,1484850050,105.315,17.7664,8.9978,0.125,0.0174,2.0955,22.7555,6.97761,Human
4626,5046,100,false,6,41,0,0.478288,47237,0.097932,9660,4.90854,34.3598,0.0108,1988.58,0.1037,0.6203,1471490050,84.0678,15.3955,7.7414,0.363,0.2007,1.4391,15.5915,5.89339,Human
1580,4954,960,false,18,76,0,0.241812,69686,0.022673,213793,73.6455,515.519,0.3872,152.439,0.5002,0.0068,1492349950,113.745,18.042,13.6791,0.0283,0.1615,1.5238,20.9079,7.76402,Human
2578,2953,715,false,13,73,0,0.4661,49060,0.052548,2070,1.01272,7.08904,0.2817,167.54,0.4507,0.3351,1398480000,90.1258,14.3711,6.7368,0.2341,0.3691,0.7324,16.2156,6.41119,Human
200,339,1205,false,12,35,0,0.371058,46453,0.004305,6588,3.40465,23.8326,0.0234,475.437,0.0507,0.3296,1400440060,70.5858,13.4794,3.7954,0.0918,0.0972,0.9772,11.4756,5.1605,Human
1056,865,19841,false,6,67,1,0.549714,26868,0.039303,30210,26.9973,188.981,0.0701,6140.71,0.0285,1.4264,1485170050,77.2674,14.0685,6.3372,0.1056,0.0947,0.6136,15.8439,5.78889,Human
817,284,3548,false,15,116,2,0.742053,67869,0.012038,8186,2.89565,20.2695,0.1485,272.397,0.2379,0.5026,1455110020,91.3319,14.9985,6.5017,0.1772,0.3529,1.6111,15.3455,6.3319,Human
774,1895,0,false,14,0,0,0.289996,52535,0.014733,9937,4.54159,31.7911,0.01,1985.65,0.1043,0.035,1471559940,83.6135,15.3185,8.0084,0.3781,0.2151,1.4852,15.576,5.84075,Human
112,371,155,false,16,0,0,0.231884,71043,0.001577,1456,0.491892,3.44324,0.1175,1144.53,0.3112,0.107,1400749950,92.9783,15.8441,6.8531,0.228,0.2497,1.1091,14.9713,5.98345,Human
9307,8714,1221,false,11,159,1,0.516453,53564,0.173755,125837,56.4039,394.827,0.3085,155.542,0.7108,0.2923,1489170050,113.326,18.4108,9.08,0.2119,0.2332,1.1419,18.6702,6.1897,Human
294196,951,1328,false,12,71,309,0.996778,69998,4.20292,14657,5.02641,35.1848,0.3627,190.622,0.4323,33.6105,1446870020,82.461,14.005,7.0312,0.1189,1.1105,0.9978,17.8723,6.7252,Human
1150038,595,3933,false,13,30,1932,0.999483,70038,16.4202,5606,1.92118,13.4483,0.4038,464.92,0.6376,109.721,1432080000,108.086,17.2699,9.4829,0.0816,0.8789,1.1454,19.1177,6.90022,Human
10,13,0,true,14,7,0,0.434783,28190,0.000355,2840,2.41908,16.9336,0.0317,0.0077,0.0011,0.0134,1415590020,118.928,18.9539,23.4137,0.1891,0.1292,1.3479,17.907,5.99271,Human
27070,268,201,false,14,144,101,0.990197,55013,0.492066,2383,1.0397,7.27792,0.3661,915.135,0.5441,4.838,1413059970,104.046,16.4251,9.9722,0.1248,0.7153,1.3345,18.2459,6.91497,Human
310,389,411,false,12,148,0,0.443491,57982,0.005346,12751,5.27992,36.9594,0.1048,71.504,0.2581,0.2913,1441149950,76.6399,13.871,3.9913,0.1036,0.277,0.7038,12.786,5.48946,Human
1568,769,6775,false,13,109,2,0.670946,51550,0.030417,44968,20.9446,146.612,0.3472,2635.81,0.0584,2.4474,1487549950,89.8358,15.9113,8.3219,0.0881,0.0875,1.1929,17.3522,6.41274,Human
470,1816,5152,false,10,95,0,0.205599,54722,0.008589,6543,2.86974,20.0882,0.1046,21.8268,0.3024,0.088,1416189950,86.5078,15.289,6.4079,0.2001,0.4616,2.3655,19.2772,7.02149,Human
8798,8471,17058,false,15,110,1,0.509468,31193,0.28205,21944,16.893,118.251,0.246,233.018,0.3425,2.1841,1487800060,78.0124,13.0071,6.2308,0.1204,0.1934,2.5297,17.0804,7.16102,Human
569,649,4039,false,5,120,0,0.467159,47612,0.011951,23346,11.7731,82.4115,0.1175,18.7938,0.0145,0.0804,1476860030,57.242,10.1988,3.3468,0.1042,0.0142,0.5499,11.511,5.69538,Human
148,108,6764,false,7,0,1,0.578125,39048,0.00379,7753,4.76521,33.3565,0.0214,123.479,0.0321,0.2147,1428019970,54.3339,10.1199,5.7369,0.1806,0.0765,0.6451,15.5319,7.07702,Human
34942162,167,76,false,12,66,209234,0.999995,71469,488.913543,5332,1.79106,12.5375,0.4118,2104.71,0.7242,2436.05,1392220030,94.7733,16.618,9.2854,0.0798,1.1764,1.3056,17.1944,6.32631,Human
283213,571,3634,false,12,35,495,0.997988,63786,4.44005,3777,1.42153,9.9507,0.3287,1317.35,0.2476,39.1057,1452140030,97.3402,16.4908,9.9691,0.1094,0.9847,1.4418,18.136,6.39333,Human
1490533,1193,8409,false,15,92,1249,0.9992,71556,20.830301,32609,10.9389,76.5726,0.4301,2478.46,0.3493,8.9541,1486499970,98.5315,16.9164,8.9547,0.1255,0.2503,1.5615,18.8627,6.85726,Human
2287733,980,235,false,16,151,2334,0.999572,49041,46.649395,7224,3.53598,24.7518,0.2528,880.27,0.4125,1217.03,1425949950,76.8747,13.9037,7.6543,0.0784,0.4525,1.5797,16.2418,6.33734,Human
1662,409,117,false,12,23,4,0.802511,65220,0.025483,7535,2.77328,19.413,0.2833,95.3113,0.57,0.8628,1386880000,84.2581,13.9572,7.9342,0.0878,0.6141,1.7255,16.0066,6.65511,Human
2108,1911,6467,false,6,137,1,0.524509,68754,0.03066,6662,2.32612,16.2828,0.2787,267.896,0.3223,0.355,1430150020,92.1395,15.945,8.5096,0.1235,0.2633,1.2915,15.9607,6.12923,Human
125653,1981,18099,false,17,157,63,0.984479,70046,1.793864,6373,2.18403,15.2882,0.3539,117.863,0.8392,58.3057,1454040060,117.346,18.7112,14.1424,0.1599,0.8051,1.5892,19.6017,6.72205,Human
1955,2897,3223,false,20,158,0,0.402927,63744,0.03067,9061,3.41152,23.8806,0.3356,59.9867,0.5245,1.4715,1466669950,89.4283,15.2056,9.2503,0.0769,0.5199,1.4094,16.7615,6.36901,Human
4605,255,16031,false,6,114,18,0.947531,70625,0.065204,9010,3.06254,21.4378,0.0888,15.9042,0.1505,10.3726,1459879940,71.7051,13.231,3.8101,0.0885,0.167,0.8034,13.4808,5.83801,Human
611,216,691,false,6,24,2,0.738815,54176,0.011278,3263,1.44572,10.1201,0.0381,252.458,0.0649,1.0496,1411069950,62.2458,11.7782,3.9311,0.0852,0.1245,0.8481,12.1254,5.49448,Human
76,150,1350,false,10,40,0,0.336283,45993,0.001652,1771,0.924322,6.47025,0.1174,244.363,0.1497,0.1713,1402690050,71.6733,12.4084,4.0953,0.1316,0.093,1.004,14.0085,6.1236,Human
402,472,1381,false,8,108,0,0.459954,44844,0.008964,9168,4.90792,34.3555,0.1532,46.5727,0.2475,0.5885,1467389950,72.8001,12.6597,6.1532,0.1405,0.2772,0.7336,14.276,5.97902,Human
75111,758,48945,false,8,35,99,0.990009,64595,1.162799,26751,9.94091,69.5864,0.1778,589.721,0.0656,47.6655,1487709950,72.1057,12.253,5.2415,0.1041,0.1035,0.6873,14.7,6.29736,Human
165,204,216,false,10,159,0,0.447154,72016,0.002291,2947,0.982333,6.87633,0.1066,138.77,0.1161,0.1314,1388339970,99.2278,17.1736,4.6616,0.3718,0.3888,1.7351,14.3953,5.53773,Human
67488,1616,19999,false,12,160,41,0.976615,72992,0.924594,54263,17.8438,124.907,0.1524,1280.5,0.067,22.6955,1470649980,61.9011,10.8056,4.5023,0.0482,0.1928,0.646,14.9781,6.37613,Human
3076,1646,14103,false,14,78,1,0.651419,40350,0.076233,15484,9.21118,64.4783,0.035,21.0604,0.6338,1.0688,1422579970,104.84,16.8333,6.7064,0.162,0.8136,1.2614,15.6998,6.0302,Human
1013,1930,6371,false,4,75,0,0.344207,57740,0.017544,62399,25.9455,181.619,0.0994,268.035,0.0157,0.2549,1467920000,95.4715,15.8507,4.7886,0.1978,0.025,1.369,14.3952,6.02112,Human
506974,1302,7661,false,11,160,389,0.997438,61944,8.184392,13106,5.07788,35.5451,0.334,2506.36,0.0456,1415.46,1487330050,104.929,17.9022,7.5086,0.0778,0.0975,1.1899,16.9335,6.221,Human
